state,price
Alabama,303565.7379350859
Alaska,300451.39287098026
Arizona,485951.36467725976
Arkansas,274221.1378666898
California,1029223.6994084038
Colorado,832179.2800582421
Connecticut,670580.2711307824
Delaware,433580.49947826087
District of Columbia,882849.7797735849
Florida,548206.7871767875
Georgia,390382.8568746835
Guam,713861.6625766872
Hawaii,1240095.2950434904
Idaho,660400.9888418163
Illinois,349957.596191326
Indiana,292582.7601085337
Iowa,251939.47228978458
Kansas,361726.56991511036
Kentucky,270528.8663827522
Louisiana,286650.95018207177
Maine,333854.79506416584
Maryland,456430.52182315645
Massachusetts,724824.7054493836
Michigan,269695.43497631
Minnesota,366313.71543760225
Mississippi,263481.4052291603
Missouri,288089.5029904306
Montana,792043.2381946516
Nebraska,298352.6590548684
Nevada,673701.8525641026
New Brunswick,2500.0
New Hampshire,481941.0002745744
New Jersey,569924.4849327578
New Mexico,323991.7139942106
New York,943796.8240642904
North Carolina,335128.82445375295
North Dakota,266687.7828022493
Ohio,249042.84170363194
Oklahoma,273217.68082929455
Oregon,586858.9441818522
Pennsylvania,331961.1583554512
Puerto Rico,640685.7523992322
Rhode Island,481324.2120877774
South Carolina,387418.7118663861
South Dakota,360786.37172104925
Tennessee,377167.0237318885
Texas,441399.12853623746
Utah,881418.403091721
Vermont,444875.0646153846
Virgin Islands,759440.0502793296
Virginia,468093.67651207774
Washington,658766.4877197477
West Virginia,240045.93385877955
Wisconsin,280261.269394111
Wyoming,612671.4079306072
