State,Percent Job Growth
Alabama,2.31
Alaska,3.60
Arizona,2.02
Arkansas,1.78
California,1.18
Colorado,1.56
Connecticut,1.12
Delaware,1.50
Florida,2.20
Georgia,1.55
Hawaii,0.19
Idaho,2.31
Illinois,0.65
Indiana,1.42
Iowa,1.39
Kansas,1.63
Kentucky,1.12
Louisiana,0.60
Maine,1.43
Maryland,0.18
Massachusetts,0.56
Michigan,0.79
Minnesota,1.51
Mississippi,1.11
Missouri,2.50
Montana,1.88
Nebraska,1.80
Nevada,3.76
New Hampshire,1.44
New Jersey,1.87
New Mexico,1.04
New York,1.75
North Carolina,1.34
North Dakota,1.51
Ohio,0.46
Oklahoma,1.83
Oregon,-0.02
Pennsylvania,1.15
Rhode Island,2.22
South Carolina,3.36
South Dakota,1.60
Tennessee,0.47
Texas,2.18
United States,1.81
Utah,2.15
Vermont,1.36
Virginia,1.83
Washington,1.55
West Virginia,1.41
Wisconsin,0.82
Wyoming,1.72
